Time,Dynamic Press,Load 1,Load 2,Load 3
55933,46068,0,0,0
56035,46067,0,0,0
56137,46069,0,0,0
56239,46061,0,0,0
56340,46042,0,0,0
56442,46060,0,0,0
56544,46095,0,0,0
56645,46106,0,0,0
56748,46024,0,0,0
56849,46008,0,0,0
56950,46116,0,0,0
57053,46106,0,0,0
57154,46071,0,0,0
57255,46062,0,0,0
57358,46145,0,0,0
57459,46161,0,0,0
57561,46050,0,0,0
57663,46081,0,0,0
57764,46123,0,0,0
57866,46101,0,0,0
57968,46108,0,0,0
58070,46106,0,0,0
58171,46095,0,0,0
58273,46100,0,0,0
58375,46083,0,0,0
58476,46093,0,0,0
58577,46186,0,0,0
58680,46177,0,0,0
58781,46170,0,0,0
58883,46197,0,0,0
58985,46074,0,0,0
59086,46086,0,0,0
59188,46108,0,0,0
59290,46143,0,0,0
59392,46108,0,0,0
59493,46101,0,0,0
59595,46171,0,0,0
59697,46126,0,0,0
59798,46130,0,0,0
59900,46081,0,0,0
60002,46018,0,0,0
60103,46027,0,0,0
60206,46069,0,0,0
60307,46173,0,0,0
60408,46134,0,0,0
60511,46056,0,0,0
60612,46133,0,0,0
60713,46089,0,0,0
60816,46013,0,0,0
60917,46040,0,0,0
61019,46095,0,0,0
61121,46087,0,0,0
61222,46031,0,0,0
61324,46087,0,0,0
61426,46070,0,0,0
61528,46082,0,0,0
61629,46110,0,0,0
61731,46120,0,0,0
61833,46045,0,0,0
61934,46085,0,0,0
62036,46124,0,0,0
62138,46113,0,0,0
62239,46076,0,0,0
62341,46120,0,0,0
62443,46095,0,0,0
62544,45983,0,0,0
62646,45985,0,0,0
62748,46007,0,0,0
62850,46000,0,0,0
62951,46051,0,0,0
63053,46096,0,0,0
63155,46126,0,0,0
63256,46145,0,0,0
63358,46093,0,0,0
63460,46124,0,0,0
63561,46046,0,0,0
63664,45950,0,0,0
63765,46041,0,0,0
63866,46080,0,0,0
63969,46001,0,0,0
64070,46022,0,0,0
64172,46040,0,0,0
64274,46095,0,0,0
64375,46111,0,0,0
64477,46129,0,0,0
64579,46099,0,0,0
64680,46034,0,0,0
64782,46065,0,0,0
64884,46022,0,0,0
64986,45974,0,0,0
65087,45931,0,0,0
65189,46049,0,0,0
65291,46064,0,0,0
65392,46059,0,0,0
65495,46052,0,0,0
65596,46020,0,0,0
65697,46046,0,0,0
65800,46002,0,0,0
65901,46097,0,0,0
66002,46065,0,0,0
66105,46063,0,0,0
66206,46052,0,0,0
66308,46059,0,0,0
66409,46154,0,0,0
66511,46088,0,0,0
66613,46084,0,0,0
66714,46081,0,0,0
66817,46065,0,0,0
66918,46147,0,0,0
67019,46073,0,0,0
67122,46002,0,0,0
67223,46041,0,0,0
67324,46027,0,0,0
67427,46123,0,0,0
67528,46136,0,0,0
67630,46071,0,0,0
67732,46080,0,0,0
67833,46140,0,0,0
67935,46161,0,0,0
68037,46115,0,0,0
68139,46007,0,0,0
68240,46016,0,0,0
68342,46044,0,0,0
68444,46052,0,0,0
68545,46017,0,0,0
68647,46016,0,0,0
68749,46094,0,0,0
68850,46168,0,0,0
68953,46176,0,0,0
69054,46146,0,0,0
69155,46110,0,0,0
69258,46106,0,0,0
69359,46083,0,0,0
69460,46114,0,0,0
69563,46049,0,0,0
69664,46047,0,0,0
69766,46026,0,0,0
69868,46029,0,0,0
69969,46037,0,0,0
70071,46071,0,0,0
70172,46097,0,0,0
70275,46200,0,0,0
70376,46167,0,0,0
70477,46133,0,0,0
70580,46106,0,0,0
70681,46148,0,0,0
70782,46102,0,0,0
70885,46071,0,0,0
70986,46071,0,0,0
71088,46020,0,0,0
71190,46015,0,0,0
71291,46148,0,0,0
71393,46130,0,0,0
71495,46098,0,0,0
71597,46088,0,0,0
71698,46058,0,0,0
71800,46011,0,0,0
71902,46040,0,0,0
72003,46055,0,0,0
72105,46010,0,0,0
72207,46084,0,0,0
72308,46126,0,0,0
72411,46130,0,0,0
72512,46154,0,0,0
72613,46081,0,0,0
72716,46046,0,0,0
72817,46042,0,0,0
72919,46079,0,0,0
73021,46021,0,0,0
73122,46150,0,0,0
73224,46062,0,0,0
73326,46103,0,0,0
73427,46181,0,0,0
73529,46139,0,0,0
73631,46115,0,0,0
73733,46083,0,0,0
73834,46104,0,0,0
73935,46037,0,0,0
74038,46049,0,0,0
74139,46066,0,0,0
74241,46047,0,0,0
74343,46076,0,0,0
74444,46102,0,0,0
74546,46112,0,0,0
74648,46114,0,0,0
74749,46071,0,0,0
74851,46081,0,0,0
74953,46082,0,0,0
75055,46083,0,0,0
75156,46085,0,0,0
75258,46071,0,0,0
75360,46095,0,0,0
75461,46066,0,0,0
75564,46047,0,0,0
75665,46100,0,0,0
75766,46178,0,0,0
75869,46135,0,0,0
75970,46036,0,0,0
76071,46075,0,0,0
76174,46106,0,0,0
76275,46117,0,0,0
76377,46091,0,0,0
76479,46049,0,0,0
76580,46072,0,0,0
76682,46128,0,0,0
76784,46057,0,0,0
76886,46106,0,0,0
76987,46003,0,0,0
77089,46076,0,0,0
77191,46033,0,0,0
77292,46078,0,0,0
77394,46179,0,0,0
77496,46198,0,0,0
77597,46026,0,0,0
77700,46019,0,0,0
77801,46008,0,0,0
77902,46012,0,0,0
78005,45997,0,0,0
78106,45997,0,0,0
78208,46042,0,0,0
78310,46108,0,0,0
78411,46056,0,0,0
78513,46023,0,0,0
78614,46075,0,0,0
78716,46075,0,0,0
78818,46090,0,0,0
78919,46084,0,0,0
79022,46092,0,0,0
79123,46089,0,0,0
79224,46050,0,0,0
79327,46102,0,0,0
79428,46147,0,0,0
79529,46174,0,0,0
79632,46156,0,0,0
79733,46105,0,0,0
79835,46094,0,0,0
79937,46089,0,0,0
80038,46109,0,0,0
80140,46078,0,0,0
80242,46047,0,0,0
80344,46135,0,0,0
80445,46112,0,0,0
80547,46068,0,0,0
80649,46021,0,0,0
80750,46040,0,0,0
80852,46087,0,0,0
80954,46058,0,0,0
81055,46083,0,0,0
81158,46080,0,0,0
81259,46061,0,0,0
81360,46131,0,0,0
81463,46132,0,0,0
81564,46029,0,0,0
81666,46053,0,0,0
81768,46081,0,0,0
81869,46124,0,0,0
81971,46106,0,0,0
82072,46001,0,0,0
82174,46095,0,0,0
82276,46131,0,0,0
82377,46166,0,0,0
82480,46057,0,0,0
82581,46044,0,0,0
82682,46084,0,0,0
82785,46068,0,0,0
82886,46062,0,0,0
82988,46090,0,0,0
83090,46038,0,0,0
83191,46065,0,0,0
83293,46043,0,0,0
83395,46046,0,0,0
83496,46078,0,0,0
83598,46051,0,0,0
83700,46043,0,0,0
83802,46031,0,0,0
83903,46110,0,0,0
84005,46136,0,0,0
84107,46005,0,0,0
84208,46021,0,0,0
84311,45927,0,0,0
84412,45986,0,0,0
84513,45946,0,0,0
